text,actionable
Завтра в 15:00 будет запись на сдачу лаба по дискретка,0
Досдача Коллок №3 и №4 - оп | дата - 11.3 (досрок),1
перенос по расписанию типовые расчеты по АиСД на 20.10,0
переносится лабораторная работа по оп на 22.10,0
Досдача Лабораторная работа №4:\nОсновы программирования\nДата : 08.01,1
Коллок. №2:\nОсновы программирования\nДата — 24.11,1
Лабораторная работа №2 по ОП - дата: 13.02,1
Лабораторная работа №4 и №5:\nДата : 20.02 (досрок)\nИСРПО,1
Коллок №1\nДата — 23.9 (досрок)\nинстр. средства разработки ПО,1
Коллок №4:\nоп\nДата : 27.02,1
Сегодня в 15:00 начнётся запись лабораторная работа по Алгоритмы и структуры данных,0
Защита Лаб. работа №4 и №6 дискретка ДМ — дата : 1.2 (досрок),1
Коллоквиум дискретная мат. — дата — 28.05,1
Завтра в 15:00 откроется запись типовые расчёты по дискретка,0
Коллоквиум:\nОсновы программирования\nДата: 19.09,1
Защита Лабораторные №2 по дискретная мат. — дата — 01.10,1
Типовик №1 и №2 - Дискретная математика — дата : 27.02,1
Коллоквиум №1:\nдата : 8.9 (досдача)\nдискретная,1
Защита Коллоквиум №1 по дисциплине дискретка ДМ | дата - 16.9,1
Лаб. работа:\nДата: 12.11\nАСД,1
Завтра в 15:00 будет запись на защиту коллоквиум по инстр. средства разработки ПО,0
На следующей неделе в 9:00 откроется запись на пересдачу типовые расчеты по оп,0
переносится типовые расчёты по алгоритмы и структуры на 22.10,0
перенос по расписанию типовой расчёт по дискретная мат. на 20.10,0
перенос по расписанию типовые расчеты по основы проги на 20.10,0
переносится коллок. по инстр. средства разработки ПО на завтра,0
Лабораторная работа №3\nДата : 12.02 (досдача)\nИСРПО,1
перенос лабораторные по основы программирования на след. неделю,0
Лаб. работа:\nДата : 5.12\nИСРПО,1
Лабораторная №4 - основы проги - дата : 6.5 (основной период),1
перенос лабораторные по инстр. средства разработки ПО на 22.10,0
переносится лабораторная работа по алгоритмы и структуры данных на завтра,0
переносится лабораторная работа по дискретная на 03.11,0
Отмена коллок. по ДМ сегодня,0
Лабораторная №3 и №5 - Инструментальные средства разработки ПО | дата - 25.12,1
переносится коллок по ОП на завтра,0
Коллок.:\nдискретная\nДата — 26.3 (досрок),1
Защита Лабораторная\nДата: 15.05\nдискретная,1
Досдача Лаб. работа:\nосновы проги\nДата — 19.09 (основной период),1
сегодня в 15:00 будет запись на защиту типовой расчет по дискретка,0
перенос лаба по дм на 03.11,0
Типовой расчет\nДата: 23.12 (досрок)\nаглосы,1
Сегодня  начнётся запись на сдачу типовик по аглосы (АСД),0
Лабораторные:\nИнструментальные средства разработки ПО\nДата: 5.5,1
Отмена типовые расчёты по АСД 20.10,0
Защита Лаба №4 и №6 по дисциплине аглосы - дата - 13.05,1
На следующей неделе в 9:00 начнётся запись на сдачу лаба по дискретная,0
Коллок. №4:\nИСРПО\nдата - 16.10,1
Лабораторная:\nДата - 13.09 (досдача),1
Защита Типовой расчет №4 - основы проги | дата — 10.05 (досрок),1
Лаб. работа №4 ОП — дата - 06.12 (досдача),1
Защита Лабораторные №1 по дисциплине Основы программирования - дата: 23.5 (досдача),1
Отмена лаба по дискретная мат. в это воскресенье,0
переносится типовики по АиСД на завтра,0
Типовые расчёты №4:\nДата — 8.12\nисрпо,1
Защита Коллоквиум\nДата - 23.09,1
Сегодня  начнётся запись на пересдачу типовые расчеты по ОП,0
Коллок. №4 - дискретная мат. | дата - 15.02 (основной период),1
Сегодня в 15:00 начнётся запись лабораторная работа по ИСРПО,0
Коллок. №4:\nинстр. средства разработки ПО\nДата - 09.12,1
Досдача Типовики:\nдата: 19.2 (досдача)\nИнструментальные средства разработки ПО,1
переносится типовик по Инструментальные средства разработки ПО на 22.10,0
Досдача Лабораторная работа №4:\nдискретка ДМ\nДата - 6.10 (досрок),1
Лабораторная работа №4 по дисциплине дискретная: дата : 24.2,1
Досдача Лабораторные №4 - оп: дата — 6.11,1
На следующей неделе  будет запись лабораторная по АСД,0
Типовик №4:\nИнструментальные средства разработки ПО\nдата — 12.12 (досрок),1
На следующей неделе в 10:00 будет запись на пересдачу лабораторные по дискретная,0
перенос типовой расчет по Инструментальные средства разработки ПО на завтра,0
Отмена коллок. по дискретка в это воскресенье,0
переносится коллоквиум по аглосы (АСД) на 20.10,0
перенос по расписанию лаба по инстр. средства разработки ПО на завтра,0
Досдача Типовые расчёты №4:\nаглосы\nдата : 03.11,1
